Empresa;Situação;Dt. emissão;Dt. saída/entrada;Esp.;Nota fiscal;série;Cd. pessoa;Nome pessoa;CFOP;Vl. contábil;Aliq. ICMS;Vl. base ICMS;Vl. ICMS;Vl. isento ICMS;Vl. outro ICMS;Vl. IPI; Vl. ICMS ST;Vl. PIS;Vl. COFINS;Vl. FCP;Vl. FCP ST; Chave acesso
11;Emitida;14/12/2020;14/12/2020;NFe;4897;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;15437,4;0;0;0;0;15437,4;0;0;0;0;0;0;35201206209148000206550060000048971494495010
11;Emitida;14/12/2020;14/12/2020;NFe;4900;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;175,62;0;0;0;0;175,62;0;0;0;0;0;0;35201206209148000206550060000049001856962655
11;Emitida;14/12/2020;14/12/2020;NFe;4913;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;235,24;0;0;0;0;235,24;0;0;0;0;0;0;35201206209148000206550060000049131143877242
11;Emitida;23/12/2020;23/12/2020;NFe;5241;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;341778,01;0;0;0;0;341778,01;0;0;0;0;0;0;35201206209148000206550060000052411190175004
11;Emitida;13/10/2020;13/10/2020;NFe;3085;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;885,06;0;0;0;0;885,06;0;0;0;0;0;0;35201006209148000206550060000030851148144950
11;Emitida;02/10/2020;02/10/2020;NFe;2838;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;13665,03;0;0;0;0;13665,03;0;0;0;0;0;0;35201006209148000206550060000028381271288387
11;Emitida;02/10/2020;02/10/2020;NFe;2842;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;354,54;0;0;0;0;354,54;0;0;0;0;0;0;35201006209148000206550060000028421180247575
11;Emitida;02/10/2020;02/10/2020;NFe;2848;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;135,87;0;0;0;0;135,87;0;0;0;0;0;0;35201006209148000206550060000028481213796010
11;Emitida;02/10/2020;02/10/2020;NFe;2851;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;239143,07;0;0;0;0;239143,07;0;0;0;0;0;0;35201006209148000206550060000028511235146146
11;Emitida;27/10/2020;27/10/2020;NFe;3470;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;620;0;0;0;0;620;0;0;0;0;0;0;35201006209148000206550060000034701780919911
11;Emitida;27/10/2020;27/10/2020;NFe;3471;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1036,02;0;0;0;0;1036,02;0;0;0;0;0;0;35201006209148000206550060000034711849651111
11;Emitida;13/10/2020;13/10/2020;NFe;3074;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;131,87;0;0;0;0;131,87;0;0;0;0;0;0;35201006209148000206550060000030741194485702
11;Emitida;30/10/2020;30/10/2020;NFe;3587;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;390,81;0;0;0;0;390,81;0;0;0;0;0;0;35201006209148000206550060000035871333961414
11;Emitida;30/10/2020;30/10/2020;NFe;3590;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;597;0;0;0;0;597;0;0;0;0;0;0;35201006209148000206550060000035901848011748
11;Emitida;30/10/2020;30/10/2020;NFe;3591;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;59,12;0;0;0;0;59,12;0;0;0;0;0;0;35201006209148000206550060000035911853073354
11;Emitida;23/10/2020;23/10/2020;NFe;3397;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;412,47;0;0;0;0;412,47;0;0;0;0;0;0;35201006209148000206550060000033971472072177
